performance_id,employee_id,performance_score,review_date
P001,E001,4,30/06/2024
P002,E002,5,15/12/2023
P003,E003,6,10/09/2024
P004,E004,,20/11/2024
P005,E005,3,25/05/2023
P006,E006,2,1/12/2022
P007,E007,4,18/08/2023
P008,E008,,5/04/2024
P009,E009,5,30/07/2022
P010,E010,1,12/01/2023
P011,E011,0,20/10/2021
P012,E012,3,28/02/2024
P013,E013,4,14/03/2022
P014,E014,2,22/09/2023
P015,E015,5,10/12/2024
P016,E016,6,8/06/2023
P017,E017,,19/11/2022
P018,E018,4,1/07/2024
P019,E019,1,15/10/2024
P020,E020,3,3/03/2023
