sales_id,employee_id,revenue,sale_date
S001,E001,4500,12/01/2024
S002,E002,0,20/01/2024
S003,E003,12800,3/02/2024
S004,E004,3200,18/02/2024
S005,E005,7600,5/03/2024
S006,E006,14500,22/03/2024
S007,E007,0,10/04/2024
S008,E008,9800,28/04/2024
S009,E009,22000,6/05/2024
S010,E010,30500,19/05/2024
S011,E011,1500,2/06/2024
S012,E012,8700,18/06/2024
S013,E013,41000,4/07/2024
S014,E014,12000,21/07/2024
S015,E015,0,9/08/2024
S016,E016,16500,26/08/2024
S017,E017,250000,3/09/2024
S018,E018,6900,17/09/2024
S019,E019,52000,11/10/2024
S020,E020,11000,29/10/2024
S021,E003,9000,8/11/2024
S022,E006,18000,23/11/2024
S023,E009,0,2/12/2024
S024,E013,75000,15/12/2024
S025,E017,0,28/12/2024
